num,dt,sec,id,imgURL,imgFile,Android_imgFile,episode,priority,sz,typ,p,accx,accy,accz,magx,magy,magz,red,green,blue,lum,tem,g,lat,lon,latitude longitude,locInterpolated,heading,speed,distance,alt,gs,herr,verr,exp,gain,rbal,gbal,bbal,xor,yor,zor,stags,tags,lat_smooth,lon_smooth,lat_lon_smooth,heading_smooth
410,2013-12-17T07:57:29+0100,194,B00000463_21I558_20131217_075728,https://googledrive.com/host/0ByZPttHNHiZ0aWFpc0tKUmdzdUU/g1_a2_sml_410.jpg,g1_a2_sml_410.jpg,G1_1.jpg,1,1,4014,2,1,-0.004,-0.779,0.303,0.105,-0.323,-0.1,31027,45106,43342,65535,26.8,2,-33.98923,151.23259,-33.98923 151.23259,0,339,1.19,10.67,46.7,1.6,15.09,1.79,1,1.25,1.906,1,1.188,75.438,-88.11,113.4,0,,-33.98917333,151.2325367,-33.9891733333 151.232536667,0
412,2013-12-17T07:57:48+0100,213,B00000465_21I558_20131217_075747,https://googledrive.com/host/0ByZPttHNHiZ0aWFpc0tKUmdzdUU/g1_a2_sml_412.jpg,g1_a2_sml_412.jpg,G1_1.jpg,1,1,4014,2,1,-0.055,-1.188,0.299,0.042,-0.263,0.114,65535,65535,65535,65535,26.8,2,-33.98911,151.23259,-33.98911 151.23259,0,320,0.1,1.45,46,0.7,14.78,1.78,1,1.31,1.813,1,1.313,71.594,-87.66,265.57,0,,-33.98917,151.23257,-33.98917 151.23257,219
414,2013-12-17T07:58:13+0100,238,B00000467_21I558_20131217_075813,https://googledrive.com/host/0ByZPttHNHiZ0aWFpc0tKUmdzdUU/g1_a2_sml_414.jpg,g1_a2_sml_414.jpg,G1_1.jpg,1,1,4014,2,1,-0.029,-0.974,0.278,0.112,-0.322,-0.114,15717,22224,19173,51157,26.8,2,-33.98917,151.23253,-33.98917 151.23253,0,337,0.6,4.81,47,1.1,20.36,1.79,5,2.13,1.969,1,1.188,74.929,-86.4,37.27,0,,-33.98915,151.2325433,-33.98915 151.232543333,269
416,2013-12-17T07:58:30+0100,255,B00000469_21I558_20131217_075830,https://googledrive.com/host/0ByZPttHNHiZ0aWFpc0tKUmdzdUU/g1_a2_sml_416.jpg,g1_a2_sml_416.jpg,G1_1.jpg,1,1,4014,2,1,-0.112,-1.344,0.276,0.108,-0.291,0.046,64131,65535,65535,65535,26.8,2,-33.98917,151.23251,-33.98917 151.23251,0,227,0.99,9.95,46.8,0.3,13.86,1.87,1,1.25,1.813,1,1.375,92.95,-85.44,51.63,0,,-33.98917333,151.23253,-33.9891733333 151.23253,106
422,2013-12-17T07:59:41+0100,326,B00000475_21I558_20131217_075935,https://googledrive.com/host/0ByZPttHNHiZ0aWFpc0tKUmdzdUU/g1_a2_sml_422.jpg,g1_a2_sml_422.jpg,G1_1.jpg,1,1,4014,2,1,-0.004,-0.935,0.018,0.118,-0.305,-0.198,38334,47659,38133,65535,28.6,2,-33.98918,151.23255,-33.98918 151.23255,0,320,0.32,2.89,44.7,0.9,23,1.89,2,1.25,1.938,1,1.156,88.949,-89.26,31.987,0,,-33.98916667,151.2324367,-33.9891666667 151.232436667,276
425,2013-12-17T08:00:20+0100,365,B00000478_21I558_20131217_080020,https://googledrive.com/host/0ByZPttHNHiZ0aWFpc0tKUmdzdUU/g1_a2_sml_425.jpg,g1_a2_sml_425.jpg,G1_1.jpg,1,1,4014,2,1,0.074,-0.75,0.07,0.145,-0.291,0.001,35185,49799,47497,65535,28.6,2,-33.98915,151.23225,-33.98915 151.23225,0,276,1.16,9.29,47.7,1.1,14.11,1.84,1,1.25,2,1,1.031,67.156,-90.5,55.165,0,,-33.98915667,151.2323167,-33.9891566667 151.232316667,276
426,2013-12-17T08:00:28+0100,373,B00000479_21I558_20131217_080028,https://googledrive.com/host/0ByZPttHNHiZ0aWFpc0tKUmdzdUU/g1_a2_sml_426.jpg,g1_a2_sml_426.jpg,G1_1.jpg,1,1,4014,2,1,0.714,-0.944,0.299,0.144,-0.303,-0.058,35959,49750,46387,65535,28.6,2,-33.98914,151.23215,-33.98914 151.23215,0,260,1.17,14.01,45.4,0.8,13.84,1.77,1,1.25,2,1,1.031,70.801,-92.05,39.534,0,,-33.98915,151.2321333,-33.98915 151.232133333,260
427,2013-12-17T08:00:40+0100,385,B00000480_21I558_20131217_080039,https://googledrive.com/host/0ByZPttHNHiZ0aWFpc0tKUmdzdUU/g1_a2_sml_427.jpg,g1_a2_sml_427.jpg,G1_1.jpg,1,1,4014,2,1,0.168,-0.903,0.074,0.124,-0.315,-0.083,31033,44740,43498,65535,28.6,2,-33.98916,151.232,-33.98916 151.23200,0,269,0.33,4.61,46,0.8,11.84,1.72,1,1.25,2,1,1.063,75.898,-91.8,41.992,0,,-33.98915333,151.2320333,-33.9891533333 151.232033333,269
428,2013-12-17T08:00:54+0100,399,B00000481_21I558_20131217_080048,https://googledrive.com/host/0ByZPttHNHiZ0aWFpc0tKUmdzdUU/g1_a2_sml_428.jpg,g1_a2_sml_428.jpg,G1_1.jpg,1,1,4014,2,1,-0.027,-0.88,0.18,0.107,-0.322,-0.099,35935,50366,46360,65535,28.6,2,-33.98916,151.23195,-33.98916 151.23195,0,303,1,9.99,46.2,0.7,12.09,1.69,1,1.25,2,1,1.094,75.721,-92.16,71.359,0,,-33.98914333,151.2319367,-33.9891433333 151.231936667,303
429,2013-12-17T08:01:04+0100,409,B00000482_21I558_20131217_080104,https://googledrive.com/host/0ByZPttHNHiZ0aWFpc0tKUmdzdUU/g1_a2_sml_429.jpg,g1_a2_sml_429.jpg,G1_1.jpg,1,1,4014,2,1,0.031,-1.045,0.372,0.124,-0.312,-0.056,39858,54341,50325,65535,28.2,2,-33.98911,151.23186,-33.98911 151.23186,0,312,1.24,9.95,44.4,1.3,11.65,1.7,1,1.31,2,1,1.094,76.279,-91.44,86.169,0,,-33.98910667,151.2318633,-33.9891066667 151.231863333,312
430,2013-12-17T08:01:12+0100,417,B00000483_21I558_20131217_080112,https://googledrive.com/host/0ByZPttHNHiZ0aWFpc0tKUmdzdUU/g1_a2_sml_430.jpg,g1_a2_sml_430.jpg,G1_1.jpg,1,1,4014,2,1,-0.033,-1.521,0.376,0.104,-0.296,0.022,59601,65535,65535,65535,28.2,2,-33.98905,151.23178,-33.98905 151.23178,0,294,0.74,8.09,43.6,0.8,10.24,1.7,1,1.25,2,1,1.094,75.99,-91.64,79.621,0,,-33.98906,151.23178,-33.98906 151.23178,294
431,2013-12-17T08:01:23+0100,428,B00000484_21I558_20131217_080122,https://googledrive.com/host/0ByZPttHNHiZ0aWFpc0tKUmdzdUU/g1_a2_sml_431.jpg,g1_a2_sml_431.jpg,G1_1.jpg,1,1,4014,2,1,0.064,-0.926,0.269,0.114,-0.307,-0.018,55998,65535,62227,65535,28.2,2,-33.98902,151.2317,-33.98902 151.23170,0,320,0.96,8.67,41.9,1,10.27,1.66,1,1.25,2,1,1.094,75.781,-92.21,62.449,0,,-33.98901,151.2317067,-33.98901 151.231706667,320
