num,dt,sec,id,imgURL,imgFile,Android_imgFile,episode,priority,sz,typ,p,accx,accy,accz,magx,magy,magz,red,green,blue,lum,tem,g,lat,lon,latitude longitude,locInterpolated,heading,speed,distance,alt,gs,herr,verr,exp,gain,rbal,gbal,bbal,xor,yor,zor,stags,tags,lat_smooth,lon_smooth,lat_lon_smooth,heading_smooth
6,,70,,https://googledrive.com/host/0ByZPttHNHiZ0X0c0Q05pby1qQ0E/zorica_20140523-20140523_8597.jpeg,zorica_20140523-20140523_8597.jpeg,G1_3.jpg,3,1,,,,,,,,,,,,,,,,-33.989102,151.232433,-33.989102 151.232433,,120,,,,,,,,,,,,,,,,,-33.989102,151.232433,-33.989102 151.232433,120
14,2013-12-17T06:43:44+0100,150,B00000402_21I5AW_20131217_064343,https://googledrive.com/host/0ByZPttHNHiZ0X0c0Q05pby1qQ0E/g1_a4_sml_341.jpg,g1_a4_sml_341.jpg,G1_3.jpg,3,1,4014,2,1,0.26,-0.772,-0.017,-0.067,-0.348,0.209,54838,64261,49242,65535,45.6,0,-33.987759,151.231409,-33.987759 151.231409,,270,,,,0,0,0,0,0,3,1.25,1.5,1,1.25,70.516,-88.64,187.65,-33.987759,151.231409,-33.987759 151.231409,270
22,,230,,https://googledrive.com/host/0ByZPttHNHiZ0X0c0Q05pby1qQ0E/g1_a4_sml_362.jpg,g1_a4_sml_362.jpg,G1_3.jpg,3,1,4014,2,1,,,,,,,,,,,,,-33.987562,151.231305,-33.987562 151.231305,,270,,,,,,,,,,,,,,,,,-33.987562,151.231305,-33.987562 151.231305,270
30,,310,,https://googledrive.com/host/0ByZPttHNHiZ0X0c0Q05pby1qQ0E/g1_a4_sml_392.jpg,g1_a4_sml_392.jpg,G1_3.jpg,3,1,4014,2,1,,,,,,,,,,,,,-33.987398,151.231332,-33.987398 151.231332,,0,,,,,,,,,,,,,,,,,-33.987398,151.231332,-33.987398 151.231332,0
159,2013-12-17T07:09:34+0100,80,B00000212_21I558_20131217_070934,https://googledrive.com/host/0ByZPttHNHiZ0aWFpc0tKUmdzdUU/g1_a2_sml_159.jpg,g1_a2_sml_159.jpg,G1_3.jpg,3,1,4014,2,1,-0.098,-0.985,-0.212,0.069,-0.347,-0.167,35603,41927,30719,65535,29.9,2,-33.98916,151.23238,-33.98916 151.23238,0,90,0.1,0.92,54,0.7,9.16,2.12,2,1.25,1.836,1,1.281,103.94,-98.23,48.87,0,,-33.98916,151.2323867,-33.98916 151.232386667,90
190,2013-12-17T07:15:20+0100,426,B00000243_21I558_20131217_071520,https://googledrive.com/host/0ByZPttHNHiZ0aWFpc0tKUmdzdUU/g1_a2_sml_190.jpg,g1_a2_sml_190.jpg,G1_3.jpg,3,1,4014,2,1,0.188,-1.273,-0.184,-0.13,-0.317,-0.034,59075,65535,51134,65535,29.3,2,-33.98846,151.23141,-33.98846 151.23141,0,39,0.44,5.78,40.7,1,10.71,1.87,2,1.25,1.648,1,1.688,94.766,-92.88,319.48,0,,-33.98867667,151.2317733,-33.9886766667 151.231773333,39
199,2013-12-17T07:17:08+0100,534,B00000252_21I558_20131217_071702,https://googledrive.com/host/0ByZPttHNHiZ0aWFpc0tKUmdzdUU/g1_a2_sml_199.jpg,g1_a2_sml_199.jpg,G1_3.jpg,3,1,4014,2,1,-0.029,-0.986,-0.228,-0.149,-0.322,-0.08,38239,42454,30261,65535,30.7,2,-33.98856,151.23175,-33.98856 151.23175,0,326,2.1,25.25,43.9,0.4,24,1.76,5,1.25,1.555,1,1.438,91.817,-99.09,258.43,0,,-33.98849667,151.23165,-33.9884966667 151.23165,326
221,2013-12-17T07:20:17+0100,723,B00000274_21I558_20131217_072010,https://googledrive.com/host/0ByZPttHNHiZ0aWFpc0tKUmdzdUU/g1_a2_sml_221.jpg,g1_a2_sml_221.jpg,G1_3.jpg,3,1,4014,2,1,-0.087,-0.978,0.066,0.009,-0.317,0.025,65535,65535,65535,65535,32.2,2,-33.98762,151.23143,-33.98762 151.23143,0,331,0.42,3.81,39.7,0.4,9.63,2.19,1,1.25,1.742,1,1.25,97.291,-95.88,86.076,0,,-33.98763,151.2314167,-33.98763 151.231416667,331
233,2013-12-17T07:21:59+0100,825,B00000286_21I558_20131217_072158,https://googledrive.com/host/0ByZPttHNHiZ0aWFpc0tKUmdzdUU/g1_a2_sml_233.jpg,g1_a2_sml_233.jpg,G1_3.jpg,3,1,4014,2,1,0.034,-0.932,-0.187,-0.165,-0.314,-0.201,51244,59614,49307,65535,32.2,2,-33.98742,151.23125,-33.98742 151.23125,0,90,0.09,0.92,31.2,0.3,9.65,1.73,1,1.25,1.711,1,1.25,98.191,-93,139.68,2,,-33.98742667,151.2312633,-33.9874266667 151.231263333,90
245,2013-12-17T07:24:54+0100,1000,B00000298_21I558_20131217_072448,https://googledrive.com/host/0ByZPttHNHiZ0aWFpc0tKUmdzdUU/g1_a2_sml_245.jpg,g1_a2_sml_245.jpg,G1_3.jpg,3,1,4014,2,1,-0.089,-1.007,0.063,0.083,-0.328,-0.039,54451,65535,57471,65535,28.7,2,-33.98744,151.23128,-33.98744 151.23128,0,0,0.22,2.22,35.4,0.5,13.2,2.06,1,1.31,1.805,1,1.188,85.842,-96.42,73.079,0,,-33.98742,151.23128,-33.98742 151.23128,0
