num,dt,sec,id,imgURL,imgFile,Android_imgFile,episode,priority,sz,typ,p,accx,accy,accz,magx,magy,magz,red,green,blue,lum,tem,g,lat,lon,latitude longitude,locInterpolated,heading,speed,distance,alt,gs,herr,verr,exp,gain,rbal,gbal,bbal,xor,yor,zor,stags,tags,lat_smooth,lon_smooth,lat_lon_smooth,heading_smooth,unity_height
66,2014-05-21T13:12:30+0000,515,B00000065_21I4N2_20140521_131230,https://googledrive.com/host/0ByZPttHNHiZ0dTZrWVA1OVFiWXM/g2_a1_sml_066.jpg,g2_a1_sml_066.jpg,G2_1.jpg,1,1,4014,2,1,0.127,-1.168,0.346,0.106,-0.748,-0.015,65535,65535,65535,65535,21.3,2,-33.98987,151.23178,-33.98987 151.23178,0,308,0.51,3.55,34.8,0.6,17.43,1.99,1,1.31,1.781,1,1,68.714,-80.39,358.42,0,,-33.98964667,151.2330067,-33.9896466667 151.233006667,320,-82.50707
89,2014-05-21T13:15:37+0000,702,B00000088_21I4N2_20140521_131536,https://googledrive.com/host/0ByZPttHNHiZ0dTZrWVA1OVFiWXM/g2_a1_sml_089.jpg,g2_a1_sml_089.jpg,G2_1.jpg,1,1,4014,2,1,0.028,-0.802,0.389,0.064,-0.839,-0.123,43236,59686,53136,65535,42.5,2,-33.98943,151.23128,-33.98943 151.23128,0,215,1.57,10.99,37,1.3,13.98,1.67,1,1.25,1.781,1,1,68.172,-89.75,356.75,0,,-33.98949,151.2313267,-33.98949 151.231326667,215,-85.50893
102,2014-05-21T13:17:11+0000,796,B00000101_21I4N2_20140521_131711,https://googledrive.com/host/0ByZPttHNHiZ0dTZrWVA1OVFiWXM/g2_a1_sml_102.jpg,g2_a1_sml_102.jpg,G2_1.jpg,1,1,4014,2,1,-0.28,-0.972,0.16,0.069,-0.8,-0.043,42826,62461,58267,65535,35.1,2,-33.98904,151.23038,-33.98904 151.23038,0,0,0.45,4.45,36,0.8,17.53,2.06,1,1.25,1.781,1.031,1,64.979,-88.49,5.5624,0,,-33.98907333,151.2303433,-33.9890733333 151.230343333,266,-88.54611
115,2014-05-21T13:18:48+0000,893,B00000114_21I4N2_20140521_131848,https://googledrive.com/host/0ByZPttHNHiZ0dTZrWVA1OVFiWXM/g2_a1_sml_115.jpg,g2_a1_sml_115.jpg,G2_1.jpg,1,1,4014,2,1,-0.058,-1.077,0.335,0.004,-0.728,0.103,65535,65535,65535,65535,35.1,2,-33.98831,151.22974,-33.98831 151.22974,0,121,0.31,2.15,34.9,1.3,14.54,2.13,0,1.31,1.625,1,1.063,74.926,-76.23,321.15,0,,-33.98838,151.2297933,-33.98838 151.229793333,128,-88.54611
131,2014-05-21T13:20:48+0000,1013,B00000130_21I4N2_20140521_132048,https://googledrive.com/host/0ByZPttHNHiZ0dTZrWVA1OVFiWXM/g2_a1_sml_131.jpg,g2_a1_sml_131.jpg,G2_1.jpg,1,1,4014,2,1,0.093,-0.855,0.371,-0.164,-0.773,0.095,65535,65535,65535,65535,36.8,2,-33.98797,151.23023,-33.98797 151.23023,0,346,1,8,35.3,0.9,14.85,2.26,0,1.31,1.719,1,1.031,68.322,-82.39,299.6,0,,-33.98796,151.2302,-33.98796 151.2302,346,-91.61861
148,2014-05-21T13:22:58+0000,1143,B00000147_21I4N2_20140521_132258,https://googledrive.com/host/0ByZPttHNHiZ0dTZrWVA1OVFiWXM/g2_a1_sml_148.jpg,g2_a1_sml_148.jpg,G2_1.jpg,1,1,4014,2,1,-0.089,-0.941,0.382,-0.442,-0.872,-0.25,30433,41465,38645,65535,17.3,2,-33.98784,151.23024,-33.98784 151.23024,0,352,0.96,6.73,28.7,0.2,16.35,2.13,1,1.25,1.75,1.031,1,86.215,-96.68,297.52,0,,-33.98786667,151.2302633,-33.9878666667 151.230263333,124,-94.72642
169,2014-05-21T13:25:50+0000,1315,B00000168_21I4N2_20140521_132549,https://googledrive.com/host/0ByZPttHNHiZ0dTZrWVA1OVFiWXM/g2_a1_sml_169.jpg,g2_a1_sml_169.jpg,G2_1.jpg,1,1,4014,2,1,-0.04,-0.598,-0.792,-0.233,-0.891,-0.515,49049,52517,33081,65535,29.9,2,-33.98778,151.23039,-33.98778 151.23039,0,337,0.34,2.41,24.1,0.2,15.06,2.07,1,1.25,1.469,1,1.375,117.53,-83.64,261.58,0,,-33.98779333,151.2303767,-33.9877933333 151.230376667,312,-96.81791
187,2014-05-21T13:28:05+0000,1450,B00000186_21I4N2_20140521_132805,https://googledrive.com/host/0ByZPttHNHiZ0dTZrWVA1OVFiWXM/g2_a1_sml_187.jpg,g2_a1_sml_187.jpg,G2_1.jpg,1,1,4014,2,1,-0.39,-0.676,0.632,-0.464,-0.794,-0.01,22796,37567,40146,65535,8.6,2,-33.98799,151.23063,-33.98799 151.23063,0,148,0.75,5.24,27.8,1.3,14.31,2.08,1,1.25,2.094,1.125,1,60.292,-85.99,309.37,0,,-33.988,151.23058,-33.988 151.23058,121,-89.56635
203,2014-05-21T13:30:09+0000,1574,B00000202_21I4N2_20140521_133008,https://googledrive.com/host/0ByZPttHNHiZ0dTZrWVA1OVFiWXM/g2_a1_sml_203.jpg,g2_a1_sml_203.jpg,G2_1.jpg,1,1,4014,2,1,0.052,-0.954,0.484,-0.072,-0.696,0.167,65535,65535,65535,65535,32.3,2,-33.98775,151.23169,-33.98775 151.23169,0,222,1.94,13.61,30.6,0.9,30.65,2.13,0,1.25,1.625,1,1.031,69.161,-82.6,327.85,0,,-33.98779,151.23159,-33.98779 151.23159,222,-87.52979
215,2014-05-21T13:31:43+0000,1668,B00000214_21I4N2_20140521_133142,https://googledrive.com/host/0ByZPttHNHiZ0dTZrWVA1OVFiWXM/g2_a1_sml_215.jpg,g2_a1_sml_215.jpg,G2_1.jpg,1,1,4014,2,1,0.051,-0.973,0.277,0.096,-0.79,-0.118,46320,65535,58088,65535,49,2,-33.98767,151.23125,-33.98767 151.23125,0,244,0.64,5.12,22.3,0.7,16.62,2.18,1,1.25,1.469,1,1.313,74.398,-83.26,334.31,0,,-33.98769,151.2312533,-33.98769 151.231253333,244,-95.7702
